person1,person2,role1,role2,movie_id,movie_name,rating,year,cooperation_id
闫非,骆佳,director,actor,5,抓娃娃,7.1,0,闫非_骆佳_5
闫非,陈冰,director,actor,5,抓娃娃,7.1,0,闫非_陈冰_5
闫非,屈爽,director,actor,5,抓娃娃,7.1,0,闫非_屈爽_5
闫非,刘鉴,director,actor,5,抓娃娃,7.1,0,闫非_刘鉴_5
闫非,丁柳元,director,actor,5,抓娃娃,7.1,0,闫非_丁柳元_5
闫非,王成思,director,actor,5,抓娃娃,7.1,0,闫非_王成思_5
闫非,张一鸣,director,actor,5,抓娃娃,7.1,0,闫非_张一鸣_5
闫非,陶亮,director,actor,5,抓娃娃,7.1,0,闫非_陶亮_5
闫非,周庆昀,director,actor,5,抓娃娃,7.1,0,闫非_周庆昀_5
闫非,蔡明凯,director,actor,5,抓娃娃,7.1,0,闫非_蔡明凯_5
闫非,罗娜,director,actor,5,抓娃娃,7.1,0,闫非_罗娜_5
闫非,杨山,director,actor,5,抓娃娃,7.1,0,闫非_杨山_5
闫非,关文净,director,actor,5,抓娃娃,7.1,0,闫非_关文净_5
闫非,牛十一,director,actor,5,抓娃娃,7.1,0,闫非_牛十一_5
闫非,路迪,director,actor,5,抓娃娃,7.1,0,闫非_路迪_5
闫非,陈昊明,director,actor,5,抓娃娃,7.1,0,闫非_陈昊明_5
闫非,贾舒涵,director,actor,5,抓娃娃,7.1,0,闫非_贾舒涵_5
闫非,芮丹尼,director,actor,5,抓娃娃,7.1,0,闫非_芮丹尼_5
闫非,于健,director,actor,5,抓娃娃,7.1,0,闫非_于健_5
闫非,龙美杉,director,actor,5,抓娃娃,7.1,0,闫非_龙美杉_5
闫非,闫剑波,director,actor,5,抓娃娃,7.1,0,闫非_闫剑波_5
闫非,魏巍,director,actor,5,抓娃娃,7.1,0,闫非_魏巍_5
闫非,于健,director,actor,5,抓娃娃,7.1,0,闫非_于健_5
闫非,康启轩,director,actor,5,抓娃娃,7.1,0,闫非_康启轩_5
闫非,郜玄铭,director,actor,5,抓娃娃,7.1,0,闫非_郜玄铭_5
闫非,李尚,director,actor,5,抓娃娃,7.1,0,闫非_李尚_5
闫非,张猛,director,actor,5,抓娃娃,7.1,0,闫非_张猛_5
闫非,李松岳,director,actor,5,抓娃娃,7.1,0,闫非_李松岳_5
闫非,雷阳,director,actor,5,抓娃娃,7.1,0,闫非_雷阳_5
闫非,薛媛媛,director,actor,5,抓娃娃,7.1,0,闫非_薛媛媛_5
闫非,杨兆超,director,actor,5,抓娃娃,7.1,0,闫非_杨兆超_5
闫非,王硕,director,actor,5,抓娃娃,7.1,0,闫非_王硕_5
闫非,谭玉龙,director,actor,5,抓娃娃,7.1,0,闫非_谭玉龙_5
彭大魔,沈腾,director,actor,5,抓娃娃,7.1,0,彭大魔_沈腾_5
彭大魔,马丽,director,actor,5,抓娃娃,7.1,0,彭大魔_马丽_5
彭大魔,史彭元,director,actor,5,抓娃娃,7.1,0,彭大魔_史彭元_5
彭大魔,萨日娜,director,actor,5,抓娃娃,7.1,0,彭大魔_萨日娜_5
彭大魔,肖帛辰,director,actor,5,抓娃娃,7.1,0,彭大魔_肖帛辰_5
彭大魔,张子栋,director,actor,5,抓娃娃,7.1,0,彭大魔_张子栋_5
彭大魔,李嘉琦,director,actor,5,抓娃娃,7.1,0,彭大魔_李嘉琦_5
彭大魔,魏翔,director,actor,5,抓娃娃,7.1,0,彭大魔_魏翔_5
彭大魔,贾冰,director,actor,5,抓娃娃,7.1,0,彭大魔_贾冰_5
彭大魔,于洋,director,actor,5,抓娃娃,7.1,0,彭大魔_于洋_5
彭大魔,李宗恒,director,actor,5,抓娃娃,7.1,0,彭大魔_李宗恒_5
彭大魔,赵凤霞,director,actor,5,抓娃娃,7.1,0,彭大魔_赵凤霞_5
彭大魔,马文波,director,actor,5,抓娃娃,7.1,0,彭大魔_马文波_5
彭大魔,孙贵权,director,actor,5,抓娃娃,7.1,0,彭大魔_孙贵权_5
彭大魔,杨文哲,director,actor,5,抓娃娃,7.1,0,彭大魔_杨文哲_5
彭大魔,骆佳,director,actor,5,抓娃娃,7.1,0,彭大魔_骆佳_5
彭大魔,陈冰,director,actor,5,抓娃娃,7.1,0,彭大魔_陈冰_5
彭大魔,屈爽,director,actor,5,抓娃娃,7.1,0,彭大魔_屈爽_5
彭大魔,刘鉴,director,actor,5,抓娃娃,7.1,0,彭大魔_刘鉴_5
彭大魔,丁柳元,director,actor,5,抓娃娃,7.1,0,彭大魔_丁柳元_5
彭大魔,王成思,director,actor,5,抓娃娃,7.1,0,彭大魔_王成思_5
彭大魔,张一鸣,director,actor,5,抓娃娃,7.1,0,彭大魔_张一鸣_5
彭大魔,陶亮,director,actor,5,抓娃娃,7.1,0,彭大魔_陶亮_5
彭大魔,周庆昀,director,actor,5,抓娃娃,7.1,0,彭大魔_周庆昀_5
