name,movie_count,avg_rating,director_count,writer_count,actor_count
田丰,1,8.6,0,0,1
刘洵,8,8.225,0,0,8
戴墨,2,6.65,2,0,0
肖央,21,7.404761904761905,3,0,18
任达华,45,7.873333333333332,0,0,45
文咏珊,10,7.49,0,0,10
陈雨锶,6,7.033333333333334,0,0,6
宋洋,6,7.566666666666666,0,0,6
李治廷,15,7.840000000000001,0,0,15
张世,5,6.9799999999999995,0,0,5
尹子维,10,7.68,0,0,10
姜皓文,18,8.066666666666666,0,0,18
陈昊,5,7.359999999999999,0,0,5
周楚濋,10,7.2,0,0,10
王昊泽,1,5.7,0,0,1
强巴才丹,1,5.7,0,0,1
饶晓志,6,7.699999999999999,4,0,2
任素汐,5,7.9799999999999995,0,0,5
马吟吟,2,7.55,0,0,2
玛丽莎·安妮塔·范·德·伍德,1,5.6,0,0,1
麻明,1,5.6,0,0,1
谢波,3,7.2,0,0,3
狮子侠,1,5.6,0,0,1
柏华力·莫高彼斯彻,3,7.266666666666667,0,0,3
阿蕾亚·蓬富特拉库尔,1,5.6,0,0,1
纳塔蒙·阿姆卡诺克,1,5.6,0,0,1
李阳,3,7.333333333333333,2,0,1
张若昀,3,7.533333333333334,0,0,3
吴晓亮,5,7.860000000000001,0,0,5
李晨浩,4,7.85,0,0,4
温峥嵘,1,7.3,0,0,1
石凉,7,6.6571428571428575,0,0,7
陈一辰,1,7.3,0,0,1
李卓钊,1,7.3,0,0,1
马凡丁,1,7.3,0,0,1
魏书钧,1,7.2,1,0,0
朱一龙,13,6.5,0,0,13
曾美慧孜,5,7.76,0,0,5
侯天来,7,6.3999999999999995,0,0,7
佟林楷,1,7.2,0,0,1
王健宇,1,7.2,0,0,1
莫西子诗,1,7.2,0,0,1
白沙,2,6.35,0,0,2
曹阳,4,7.725,0,0,4
曾淇,2,6.5,0,0,2
黄俊,1,7.2,0,0,1
黄米依,3,6.433333333333334,0,0,3
周游,6,7.816666666666666,0,0,6
郑保瑞,9,7.977777777777778,9,0,0
古天乐,44,8.204545454545455,0,0,44
洪金宝,16,7.725,1,0,15
任贤齐,14,7.864285714285715,0,0,14
林峯,8,7.812499999999999,0,0,8
刘俊谦,2,7.35,0,0,2
黄德斌,7,7.685714285714285,0,0,7
伍允龙,10,7.65,0,0,10
胡子彤,3,6.7,0,0,3
张文杰,4,7.475,0,0,4
廖子妤,1,7.2,0,0,1
郭富城,26,8.13846153846154,0,0,26
蔡思韵,2,7.800000000000001,0,0,2
黄梓乐,1,7.2,0,0,1
张国立,13,7.738461538461539,2,0,11
周冬雨,26,8.0,0,0,26
许亚军,3,7.233333333333333,0,0,3
田雨,11,7.545454545454547,0,0,11
何政军,9,6.333333333333333,0,0,9
徐子力,2,7.05,0,0,2
陈童,3,6.333333333333333,1,0,2
陈道明,13,7.86923076923077,0,0,13
陈冲,20,7.919999999999999,0,0,20
赵亮,3,6.166666666666667,0,0,3
焦刚,12,8.008333333333333,0,0,12
冯小刚,28,8.524999999999999,18,0,10
兰西雅,3,6.3,0,0,3
啜妮,4,6.2250000000000005,0,0,4
程潇,2,6.300000000000001,0,0,2
王啸宇,2,6.4,0,0,2
钱漪,2,6.2,0,0,2
杨晨汐,1,6.2,0,0,1
李慧君,1,6.2,0,0,1
陈执愔,1,6.2,0,0,1
朱廉熹,1,6.2,0,0,1
杨云英,1,6.2,0,0,1
梁星,1,6.2,0,0,1
陈国栋,1,6.2,0,0,1
张诗礼,1,6.2,0,0,1
熊月良,1,6.2,0,0,1
乌日娜,1,5.3,1,0,0
谭卓,14,7.307142857142857,0,0,14
小沈阳,14,7.871428571428573,1,0,13
董宝石,3,5.166666666666667,0,0,3
张百乔,4,5.375,0,0,4
刘嘉裕,1,5.3,0,0,1
李琦,10,6.840000000000001,0,0,10
周大勇,7,5.557142857142856,0,0,7
马旭东,5,5.859999999999999,0,0,5
魏来,2,5.85,0,0,2
马驰,2,7.35,0,0,2
庄小龙,2,5.35,0,0,2
莎尔娜·玛格达瑶,1,5.3,0,0,1
冯满,2,6.15,0,0,2
田野,1,5.3,0,0,1
刘坤,3,7.8999999999999995,0,0,3
张金条,1,5.3,0,0,1
王天放,4,5.449999999999999,0,0,4
徐震松,1,5.3,0,0,1
万国鹏,6,6.333333333333333,0,0,6
于晞悦,1,5.3,0,0,1
黄曾鸿辰,1,5.3,0,0,1
赵霁,7,7.185714285714285,2,0,5
王凯,16,7.45625,3,0,13
季冠霖,12,7.599999999999998,0,0,12
李立宏,5,6.640000000000001,0,0,5
李兰陵,3,7.6000000000000005,0,0,3
赵毅,10,7.390000000000001,0,0,10
文靖渊,1,7.0,0,0,1
汤水雨,3,6.933333333333334,0,0,3
星潮,1,7.0,0,0,1
邱秋,1,7.0,0,0,1
杨天翔,10,7.35,0,0,10
孟宇,3,7.433333333333333,0,0,3
赵铭洲,1,7.0,0,0,1
刘琮,5,7.3,0,0,5
锦鲤,2,6.7,0,0,2
沈良骏,1,7.0,0,0,1
胡亚捷,4,5.775,0,0,4
韩乐,1,7.0,0,0,1
赵德胤,1,5.3,1,0,0
辛芷蕾,8,7.4875,0,0,8
黄觉,17,7.394117647058824,0,0,17
安沺,3,5.8,0,0,3
王梓薇,1,5.3,0,0,1
张帆,5,6.519999999999999,1,0,4
冯雪雅,2,5.65,0,0,2
韩玺曈,1,5.3,0,0,1
杭程宇,1,5.3,0,0,1
崔俊,1,5.3,0,0,1
甫枭虎,3,5.933333333333334,0,0,3
李延,2,4.45,0,0,2
张会苓,1,5.3,0,0,1
王福安,1,5.3,0,0,1
顾长卫,6,8.1,5,0,1
葛优,28,8.307142857142859,0,0,28
刘威葳,7,7.828571428571429,0,0,7
耿乐,20,7.8549999999999995,0,0,20
赵千紫,3,7.133333333333333,0,0,3
李千逸,1,7.3,0,0,1
吕行,5,7.3199999999999985,0,0,5
朱怀旭,1,7.3,0,0,1
蒋灵儿,1,7.3,0,0,1
朱亚男,1,7.3,0,0,1
恩美,1,7.3,0,0,1
李汀珝,1,7.3,0,0,1
范明,10,7.540000000000001,0,0,10
毛阿敏,2,7.65,0,0,2
王自健,5,7.720000000000001,0,0,5
吴双,2,6.65,1,0,1
刘雅瑟,12,7.574999999999999,0,0,12
陈思诚,16,8.025000000000002,3,0,13
约翰·库萨克,2,7.25,0,0,2
吴彦祖,26,8.392307692307693,0,0,26
俞飞鸿,10,7.290000000000001,1,0,9
任璐遥,1,6.0,0,0,1
王雨甜,5,7.540000000000001,0,0,5
朱珠,9,6.933333333333334,0,0,9
曹翠芬,3,7.266666666666666,0,0,3
吴彦姝,6,6.516666666666666,0,0,6
许还山,10,6.62,0,0,10
王宝强,31,8.280645161290325,1,0,30
潘粤明,14,7.364285714285715,0,0,14
沙宝亮,5,6.14,0,0,5
欧阳娜娜,7,7.542857142857143,0,0,7
谷嘉诚,4,7.25,0,0,4
邱心志,7,6.842857142857143,0,0,7
王龙正,2,6.0,0,0,2
袁近辉,2,5.95,0,0,2
韩天,2,5.95,2,0,0
许光汉,2,5.45,0,0,2
章若楠,5,6.36,0,0,5
丁冠森,5,6.74,0,0,5
晏紫东,2,4.95,0,0,2
郭丞,2,5.300000000000001,0,0,2
王莎莎,5,6.08,0,0,5
梁靖康,4,6.325000000000001,0,0,4
黄天仁,1,6.2,1,0,0
柯佳嬿,3,7.566666666666667,0,0,3
施柏宇,1,6.2,0,0,1
金世佳,9,7.800000000000001,0,0,9
贺灵榣,1,6.2,0,0,1
郭文颐,2,7.25,0,0,2
张毓晨,1,6.2,0,0,1
赵域,1,5.7,1,0,0
王唯,1,5.7,0,0,1
张登平,1,5.7,0,0,1
倪景阳,10,7.359999999999999,0,0,10
田理,1,5.7,0,0,1
董芷依,2,6.6,0,0,2
胡涂,1,5.7,0,0,1
李欧,1,5.7,0,0,1
孟和乌力吉,1,5.7,0,0,1
李季,2,5.1,1,0,1
管乐,2,6.15,0,0,2
吕严,2,5.15,0,0,2
叶浏,3,7.166666666666667,0,0,3
张祐维,3,5.5,0,0,3
土豆,1,6.1,0,0,1
张呈,1,6.1,0,0,1
王议伟,2,6.8,0,0,2
张艺兴,11,7.218181818181819,0,0,11
田羽生,4,7.075,3,0,1
韩庚,12,7.875,0,0,12
于文文,4,6.4,0,0,4
曾梦雪,1,5.5,0,0,1
罗米,2,5.95,0,0,2
冯铭潮,4,6.324999999999999,0,0,4
药一樍,1,5.5,0,0,1
于惠,1,5.5,0,0,1
苗艺博,1,5.5,0,0,1
张栾,2,5.5,1,0,1
季竹青,1,6.4,1,0,0
张新成,2,7.0,0,0,2
孙千,3,6.333333333333333,0,0,3
刘丹,8,7.225,0,0,8
陶海,4,7.0,0,0,4
吴俊霆,2,6.800000000000001,0,0,2
李光复,2,7.65,0,0,2
徐方舟,1,6.4,0,0,1
孙美林,1,6.4,0,0,1
陈似锦,1,6.4,0,0,1
凌正辉,3,7.066666666666666,0,0,3
希童,1,6.4,0,0,1
苏伦,3,7.266666666666666,3,0,0
