person1,person2,cooperation_count,avg_rating,movies,movies_count
吴彦祖,尔冬升,4,8.524999999999999,"[{'movie_id': 319, 'movie_name': '大魔术师', 'rating': 8.7, 'year': 0}, {'movie_id': 362, 'movie_name': '我是路人甲', 'rating': 8.6, 'year': 0}, {'movie_id': 383, 'movie_name': '枪王之王', 'rating': 8.6, 'year': 0}, {'movie_id': 650, 'movie_name': '千杯不醉', 'rating': 8.2, 'year': 0}]",4
刘红韵,黄伟明,4,7.0,"[{'movie_id': 1356, 'movie_name': '开心超人', 'rating': 7.3, 'year': 0}, {'movie_id': 1421, 'movie_name': '喜羊羊与灰太狼之羊年喜羊羊', 'rating': 7.2, 'year': 0}, {'movie_id': 1728, 'movie_name': '开心超人2：启源星之战', 'rating': 6.8, 'year': 0}, {'movie_id': 87, 'movie_name': '喜羊羊与灰太狼之筐出未来', 'rating': 6.7, 'year': 0}]",4
刘青云,麦兆辉,4,8.725,"[{'movie_id': 241, 'movie_name': '窃听风云2', 'rating': 8.9, 'year': 0}, {'movie_id': 245, 'movie_name': '窃听风云', 'rating': 8.9, 'year': 0}, {'movie_id': 309, 'movie_name': '窃听风云3', 'rating': 8.7, 'year': 0}, {'movie_id': 457, 'movie_name': '廉政风云', 'rating': 8.4, 'year': 0}]",4
姜文,周韵,4,9.175,"[{'movie_id': 128, 'movie_name': '让子弹飞', 'rating': 9.6, 'year': 0}, {'movie_id': 150, 'movie_name': '邪不压正', 'rating': 9.3, 'year': 0}, {'movie_id': 207, 'movie_name': '一步之遥', 'rating': 9.0, 'year': 0}, {'movie_id': 284, 'movie_name': '太阳照常升起', 'rating': 8.8, 'year': 0}]",4
李玉,范冰冰,4,8.65,"[{'movie_id': 278, 'movie_name': '观音山', 'rating': 8.8, 'year': 0}, {'movie_id': 305, 'movie_name': '万物生长', 'rating': 8.7, 'year': 0}, {'movie_id': 370, 'movie_name': '二次曝光', 'rating': 8.6, 'year': 0}, {'movie_id': 447, 'movie_name': '苹果', 'rating': 8.5, 'year': 0}]",4
周润发,王晶,4,8.6,"[{'movie_id': 306, 'movie_name': '澳门风云2', 'rating': 8.7, 'year': 0}, {'movie_id': 311, 'movie_name': '澳门风云', 'rating': 8.7, 'year': 0}, {'movie_id': 357, 'movie_name': '澳门风云3', 'rating': 8.6, 'year': 0}, {'movie_id': 478, 'movie_name': '大上海', 'rating': 8.4, 'year': 0}]",4
张国立,冯小刚,4,8.775,"[{'movie_id': 141, 'movie_name': '芳华', 'rating': 9.4, 'year': 0}, {'movie_id': 238, 'movie_name': '一九四二', 'rating': 8.9, 'year': 0}, {'movie_id': 335, 'movie_name': '手机', 'rating': 8.7, 'year': 0}, {'movie_id': 727, 'movie_name': '一声叹息', 'rating': 8.1, 'year': 0}]",4
王昕,杨天翔,4,7.35,"[{'movie_id': 1165, 'movie_name': '狐妖小红娘剧场版：王权富贵', 'rating': 7.5, 'year': 0}, {'movie_id': 1248, 'movie_name': '狐妖小红娘剧场版：月红篇', 'rating': 7.4, 'year': 0}, {'movie_id': 1322, 'movie_name': '狐妖小红娘剧场版：千颜', 'rating': 7.3, 'year': 0}, {'movie_id': 1410, 'movie_name': '狐妖小红娘剧场版：下沙', 'rating': 7.2, 'year': 0}]",4
王昕,刘校妤,4,7.35,"[{'movie_id': 1165, 'movie_name': '狐妖小红娘剧场版：王权富贵', 'rating': 7.5, 'year': 0}, {'movie_id': 1248, 'movie_name': '狐妖小红娘剧场版：月红篇', 'rating': 7.4, 'year': 0}, {'movie_id': 1322, 'movie_name': '狐妖小红娘剧场版：千颜', 'rating': 7.3, 'year': 0}, {'movie_id': 1410, 'movie_name': '狐妖小红娘剧场版：下沙', 'rating': 7.2, 'year': 0}]",4
王昕,乔诗语,4,7.35,"[{'movie_id': 1165, 'movie_name': '狐妖小红娘剧场版：王权富贵', 'rating': 7.5, 'year': 0}, {'movie_id': 1248, 'movie_name': '狐妖小红娘剧场版：月红篇', 'rating': 7.4, 'year': 0}, {'movie_id': 1322, 'movie_name': '狐妖小红娘剧场版：千颜', 'rating': 7.3, 'year': 0}, {'movie_id': 1410, 'movie_name': '狐妖小红娘剧场版：下沙', 'rating': 7.2, 'year': 0}]",4
王宏伟,贾樟柯,4,8.325,"[{'movie_id': 449, 'movie_name': '三峡好人', 'rating': 8.5, 'year': 0}, {'movie_id': 453, 'movie_name': '小武', 'rating': 8.5, 'year': 0}, {'movie_id': 580, 'movie_name': '站台', 'rating': 8.3, 'year': 0}, {'movie_id': 806, 'movie_name': '世界', 'rating': 8.0, 'year': 0}]",4
宁海强,宁宁,4,7.15,"[{'movie_id': 1326, 'movie_name': '勇士', 'rating': 7.3, 'year': 0}, {'movie_id': 1354, 'movie_name': '目标战', 'rating': 7.3, 'year': 0}, {'movie_id': 1452, 'movie_name': '歼十出击', 'rating': 7.2, 'year': 0}, {'movie_id': 1744, 'movie_name': '雷锋在1959', 'rating': 6.8, 'year': 0}]",4
万丹青,丁亮,4,7.675,"[{'movie_id': 819, 'movie_name': '熊出没·原始时代', 'rating': 7.9, 'year': 0}, {'movie_id': 863, 'movie_name': '熊出没之夺宝熊兵', 'rating': 7.9, 'year': 0}, {'movie_id': 1098, 'movie_name': '熊出没之熊心归来', 'rating': 7.6, 'year': 0}, {'movie_id': 1359, 'movie_name': '熊出没之过年', 'rating': 7.3, 'year': 0}]",4
王晶,刘德华,4,8.625,"[{'movie_id': 199, 'movie_name': '追龙', 'rating': 9.0, 'year': 0}, {'movie_id': 306, 'movie_name': '澳门风云2', 'rating': 8.7, 'year': 0}, {'movie_id': 357, 'movie_name': '澳门风云3', 'rating': 8.6, 'year': 0}, {'movie_id': 603, 'movie_name': '王牌逗王牌', 'rating': 8.2, 'year': 0}]",4
王晶,胡然,4,8.625,"[{'movie_id': 199, 'movie_name': '追龙', 'rating': 9.0, 'year': 0}, {'movie_id': 306, 'movie_name': '澳门风云2', 'rating': 8.7, 'year': 0}, {'movie_id': 357, 'movie_name': '澳门风云3', 'rating': 8.6, 'year': 0}, {'movie_id': 603, 'movie_name': '王牌逗王牌', 'rating': 8.2, 'year': 0}]",4
余浩瑞,回宇,4,4.85,"[{'movie_id': 1956, 'movie_name': '魔游纪1：盘古之心', 'rating': 6.5, 'year': 0}, {'movie_id': 2544, 'movie_name': '魔游纪2：异乡奇遇', 'rating': 5.2, 'year': 0}, {'movie_id': 2599, 'movie_name': '魔游纪3：天都暗潮', 'rating': 4.9, 'year': 0}, {'movie_id': 2800, 'movie_name': '魔游纪5：宿命之争', 'rating': 2.8, 'year': 0}]",4
黄秋生,邱礼涛,4,7.824999999999999,"[{'movie_id': 599, 'movie_name': '原谅他77次', 'rating': 8.2, 'year': 0}, {'movie_id': 767, 'movie_name': '叶问：终极一战', 'rating': 8.0, 'year': 0}, {'movie_id': 976, 'movie_name': '爱情梦幻号', 'rating': 7.8, 'year': 0}, {'movie_id': 1365, 'movie_name': '竞雄女侠秋瑾', 'rating': 7.3, 'year': 0}]",4
祖晴,黄伟明,4,7.0,"[{'movie_id': 1356, 'movie_name': '开心超人', 'rating': 7.3, 'year': 0}, {'movie_id': 1421, 'movie_name': '喜羊羊与灰太狼之羊年喜羊羊', 'rating': 7.2, 'year': 0}, {'movie_id': 1728, 'movie_name': '开心超人2：启源星之战', 'rating': 6.8, 'year': 0}, {'movie_id': 87, 'movie_name': '喜羊羊与灰太狼之筐出未来', 'rating': 6.7, 'year': 0}]",4
