name,rating,types,directors,actors
小小飞虎队,7.6,喜剧/动作/儿童/战争,钱晓鸿,赵泽文/张一山/小叮咚/胡天阳/丁柳元/谢孟伟/涩谷天马/韩英群/张政勇/祝新运/石小满/岳红/果靖霖/山崎敬一
201314,7.6,爱情,孔令晨,郭晓然/金晨/牛群/王璐瑶/郭鑫/邵思涵/姜潮/芷玄
告诉他们，我乘白鹤去了,7.6,剧情,李睿珺,马新春/汤龙/王思怡/张敏
宝岛双雄,7.6,喜剧/动作/爱情,张训玮,房祖名/夏雨/陈汉典/邓家佳/张菲/锦荣/杰西卡·C
笔仙惊魂,7.6,悬疑/惊悚/恐怖,关尔,何杜娟/翟子陌/王一/午马/柴碧云/付曼
爱在那一天,7.6,剧情/爱情,朱少宇,马里奥·毛瑞尔/武艺/叶青/阚清子
超时空救兵,7.6,喜剧/动作/科幻,林子聪,霍建华/景甜/郭品超/郝好/林子聪/孙浩/林雪/田启文/张达明
喜羊羊与灰太狼之开心闯龙年,7.6,喜剧/动画/儿童/冒险,简耀宗,周笔畅/阿牛/欧弟
遍地狼烟,7.6,动作/爱情/战争,胡大为,何润东/宋佳/梁家辉/何晟铭/朱琳/郭明翔/于荣光/陈司翰/吴飞霞
巨额交易,7.6,剧情/喜剧/爱情/奇幻/冒险,马俪文,蓝正龙/杜汶泽/乔任梁/韩彩英/许志安/叶大鹰/英壮/黄龄/童瑶/夏凡/巩新亮
床下有人,7.6,悬疑/惊悚,牛朝阳,何可人/郭晓然/武文佳/葛红霖
紫宅,7.6,爱情/悬疑/惊悚,潘恒生,汪东城/佟丽娅/钟凯/唐文龙/肖雨雨/谢君豪/谭耀文
兔侠传奇,7.6,喜剧/动作/动画/冒险/武侠,孙立军,范伟/闫妮/张丰毅/濮存昕/张一山/林永健/黄宏/冯远征/徐峥
B区32号,7.6,剧情/惊悚/恐怖,吕建民,邓紫衣/唐宸禹/李锐
午夜心跳,7.6,恐怖,张加贝,任达华/吴镇宇/姚笛/杨渝渝/李念/刘雨鑫/巴多/杨舒婷
魔侠传之唐吉可德,7.6,剧情/喜剧/动作/爱情/武侠/古装,阿甘,郭涛/林嘉欣/王刚/刘桦/李菁/海一天/苗圃/秦沛/英壮/王双宝/巴多/那威/莫小棋/戎祥/冯砾/洪剑涛
长江7号爱地球,7.6,动画,袁建滔,徐娇/石班瑜/董洁/吴刚/黄蕾/冯勉恒/苏子龙/吕萍/于军
迷城,7.6,剧情,章家瑞,霍思燕/郭晓然/葛思然/唐以诺
嫁给大山的女人,7.6,剧情,胡明钢,王力可/施展/村里
时尚先生,7.6,剧情/喜剧/爱情,乔梁,方中信/孔维/王雨/吕聿来/吕燕
神枪手与智多星,7.6,喜剧/动作/犯罪,姜国民,吴镇宇/黄秋生/方力申/曾志伟/唐嫣/吴庆哲/刘洋
妃子笑,7.6,喜剧,郑伟文,萧正楠/黄婉伶/黄婉君/陈逸宁/戴梦梦/朱咪咪/李兆基/江欣燕/梅小惠/谢雪心/杨羚/李思捷/王嘉明
鸳鸯蝴蝶,7.6,剧情/爱情,严浩/杨紫,周迅/陈坤/严羚/张曦文/严浩/赵梓荐/于凌达/武锦华
美人依旧,7.6,剧情,胡安,周迅/邬君梅/王志文/卢燕/剧雪/沈羽倩/杨立新
天黑请闭眼,7.6,恐怖,刘晓光,王志文/吴倩莲/张耀扬/于娜/李小冉/廖凡
警察有约,7.6,喜剧/爱情,徐耿,夏雨/梁静/伍宇娟/沈丹萍/袁立/李明启/丁嘉丽/贺小书/剧雪/李湘/马晓晴/谢雨欣/许亚军/雪村/杨立新/袁泉
赵先生,7.6,剧情,吕乐,施京明/张芝华/蒋雯丽/陈怡南
背起爸爸上学,7.6,剧情,周友朝,赵强/江化霖/颜丹晨
画魂,7.6,剧情/爱情/传记,黄蜀芹,巩俐/尔冬升/达式常
冬春的日子,7.6,剧情/爱情,王小帅,刘小东/喻红/娄烨
南北少林,7.6,剧情/动作/武侠/古装,刘家良,李连杰/黄秋燕/胡坚强
回到过去拥抱你,7.5,爱情/奇幻,花明,侯明昊/彭昱畅/盖玥希/马可/黄龄/甘宇喆/明子煜/王超/金阳/任山/周恒乐/丁志勇/高蓓蓓/魏晨/陈皓
过昭关,7.5,剧情/家庭/儿童,霍猛,杨太义/李云虎 /万众 /聂栋才
狗眼看人心,7.5,剧情/家庭,吴楠,黄磊/闫妮/韩童生/崔新琴/沙俊伯/丁嘉丽/冯嘉怡/沙溢/果靖霖/胡可/刘梦梦/桑平/曹瑞/李菁菁/汤唯
战斗民族养成记,7.5,喜剧/爱情,阿卡季·萨赫拉什维利/夏昊,董畅/伊丽莎维塔·科诺诺娃/维塔利·哈耶夫/格兰特·吐火添/谢尔盖·奇尔科夫/娜塔莉亚·苏尔科娃/瓦季姆·斯米尔诺夫/德米特里·斯米尔诺夫/维拉·古里耶娃
中国蓝盔,7.5,剧情/动作/战争,宁海强,徐洪浩/一龙/彭士腾/沈浩/王韬/聂远/曹凯/王强/郑卫莉/伊莉莎/达丽雅/一二先生/尚/蔡明凯/龙天/穆雷克
脱皮爸爸,7.5,剧情/喜剧/奇幻,司徒慧焯,吴镇宇/古天乐/春夏/蔡洁/田蕊妮/费曼
再见十八班,7.5,剧情,禹岚馨,柯焱曦/熊婧文/秦海
盲·道,7.5,剧情/犯罪,李杨,李杨/杜函梦/于越/胡明
情遇曼哈顿,7.5,喜剧/爱情,李巨源,王丽坤/高以翔/李媛/王传君
钢铁飞龙之再见奥特曼,7.5,动作/科幻/动画,王巍,侯勇/大张伟/金晨/曲哲明/向佐/罗云熙/郝劭文/汪铎/屈菁菁
小戏骨：放开那三国,7.5,剧情/儿童/历史/古装,潘礼平/邹江/尹俊欢,陶奕希/李俊豪/葛奕德/赵晨翔/陈荣达/罗自豪/陶冰蓝/周冉/黎哲彬/祁晟原/段智文/周柯伊/赵士添
美容针,7.5,喜剧/爱情,黄美娜,闫妮/杜天皓/宋伊人/赵毅新/张亦驰/宗晓军
不期而遇,7.5,喜剧/爱情,陈卓,张雨绮/张亮/王少雍/冷中易
陈翔六点半之废话少说,7.5,剧情/喜剧/爱情,陈翔,陈翔/闰土/蘑菇头/腿腿/毛台
不可抗力爱上你,7.5,剧情/爱情/同性,孙承志,孟瑞/王博文
冬,7.5,剧情,邢健,王德顺/王诗雯淇/黄嵩博/徐文宇/朴政希
狐妖小红娘剧场版：王权富贵,7.5,剧情/喜剧/爱情,王昕,杨天翔/刘校妤/乔诗语/魏超/阎萌萌/张凯/范哲琛
恶人报喜,7.5,喜剧,谷德昭,吴镇宇/江疏影/郑中基/余安安/蔡瀚亿/官恩娜/曾国祥/谷德昭/林子聪/夏春秋/冯勉恒/谭炳文/张达明/李灿森/何超仪/黄文慧/余慕莲/鲁芬/林二汶/卢惠光/田启文/徐志雄/郭伟国/郑文辉/刘敬雯/阮兆祥/周秀娜/陈伟雄
擦枪走火,7.5,喜剧/爱情,周伟,喻恩泰/倪虹洁/王景春/李锐/赵文琪/邱泽/曹云金/斯琴高娃/吴樾/钟思华
回到被爱的每一天,7.5,剧情/爱情,何平,王佳佳/张译/王志文/刘仪伟/雷汉/田东霖/周德华/刘乐思/黄泊钧
浪漫天降,7.5,喜剧/爱情,宁瀛,夏雨/关晓彤/邱泽/刘孜/崔宝月/白举纲/左立/李萌萌
男神时代,7.5,喜剧/爱情,徐正超,任言恺/李菲儿/李贤宰/郑媛元/丹尼斯·凯恩/苏查拉·玛娜英/刘智福/刘智满/刘智堂/李志荟
张震讲故事之鬼迷心窍,7.5,悬疑/惊悚,徐正超,张翰/张俪/李心艾/张皓然/朱晓辉/孔维/范植伟
忘了去懂你,7.5,剧情/家庭,权聆,陶虹/郭晓东/王紫逸/张一白
洋妞到我家,7.5,剧情/喜剧/家庭,陈刚,徐帆/陈建斌/陈一诺/佳妮娜·阿拉纳·特拉诺瓦/孙红雷/郭涛/佟丽娅/王千源/张晓龙/范文芳/李铭顺/金志文/邬倩倩/孙桂田
分手达人,7.5,喜剧/爱情,张自立,林鹏/范逸臣/刘承俊/林芮西/九孔/李欣汝/罗海琼/李琳/曹涤非/张梓琳/高捷/邰正宵/周蕙/黄子佼/陈宣裕
夺樽,7.5,剧情/动作,张新亚/陈晓雷,王洪祥/翁家明/王姬/平安/淳于珊珊/关慧卿/范俊涵/李鹏飞/王彤/李小舟/马文强/健子/范军/郭晨东
U盘,7.5,剧情/喜剧,徐志强,杨珑/肖雨雨/唐爱国/李国弘/董立范/颜冠英/辛凯/阿速/小么哥/魏婷婷/杨蕊/田昊/杨恒
半熟少女,7.5,剧情/爱情/歌舞,刘鼎业,王栎鑫/赵正平/刘真/汤敏/赵嘉敏/戴萌/董芷依/邱欣怡/孔肖吟/陈观慧/张语格/莫寒/吴哲晗/许佳琪/顾香君/蒋羽熙/徐晨辰/陈思/李宇琪
我的男男男男朋友,7.5,喜剧/爱情,赵崇基,汪东城/谢娜/李承炫/谢依霖/何晶晶/翁艳/刘令飞/胡兵/印小天/雷诺儿
甜心巧克力,7.5,爱情,筱原哲雄,林志玲/池内博之/福地佑介/陈廷嘉/郭念秋/姚亦辰/唐群/李铭顺/林江国/山本圭
铁血娇娃,7.5,动作/惊悚/冒险,傅华阳,邹兆龙/余男/释彦能/安志杰/潘霜霜/王丹怡栗/史梵希/木幡龙/吴靖萱/吴静一/王秋紫/谈莉娜
金刚王：死亡救赎,7.5,剧情/动作,罗永昌,释彦能/刘承俊/雅玫/南贤俊/姜宝成/刘勇/池内博之/仓田保昭
帝国秘符,7.5,动作/冒险,李作楠,潘粤明/伊能静/胡可/侯勇
爱爱囧事,7.5,喜剧/爱情,关尔,赵奕欢/王一/莫熙儿/董玉峰/陈美行/秦汉擂/赵雨菁/游艺湉/李曼铱
早见，晚爱,7.5,剧情/爱情,刘国昌,周渝民/童瑶/曹云金/白羽/叶一云/陈维涵/刘鑫/姜寒/温海波
周恩来的四个昼夜,7.5,剧情/历史,陈力,孙维民/何伟/储智博/牛犇/郝岩/柏青
临终囧事,7.5,喜剧/恐怖,钱江汉,包贝尔/詹瑞文/文咏珊/冯淬帆/莫小棋/景岗山/杨恭如/林子聪/张超
石器时代之百万大侦探,7.5,喜剧/奇幻,王松,叶山豪/黄璐/梁家仁/龚蓓苾/贾伟/徐鹏凯
喜羊羊与灰太狼之喜气羊羊过蛇年,7.5,喜剧/动画/家庭/冒险,简耀宗,祖晴/梁颖/张琳/邓玉婷/高全胜/刘红韵/赵娜
有人赞美聪慧，有人则不,7.5,剧情/家庭/儿童,杨瑾,李书晨/王琛/卫永邵/毕东林/马有贯/赵俊艾/彭科浩/任粉环/潘学博/张语嫣/张银花/陈秀梅/王文明/杨栋清
一起飞,7.5,喜剧/爱情/奇幻/冒险,张蠡,林志颖/张娜拉/那威/万思维/王子子/肖剑/陈佳佳/肥龙/朱虎声
天津闲人,7.5,剧情/喜剧,郑大圣,管新成/张金元/杨淼/李洪臣/郑福山
做次有钱人,7.5,喜剧/爱情,万里/刘誉,喻恩泰/戚薇/胡蝶/曹炳琨/王双宝/巴多/杜海涛
擒爱记,7.5,喜剧/爱情,韩承桓,莫小棋/巩新亮/谭卓/冯丹滢/曾祥程/杨金承/刘恩佑/王钧赫
疯狂的蠢贼,7.5,喜剧/犯罪,李凯,吴镇宇/林雪/颖儿/王太利/连晋/彭波
追爱,7.5,喜剧/爱情,刘怡明,应采儿/佟大为/董璇/熊乃瑾/勾峰/柯素云
正·青春,7.5,剧情,赵燕国彰,赵燕国彰/王子文/张进/王玉众/王馨乐/赵亚男/周木杨/严俊熙
回马枪,7.5,喜剧/犯罪,李远,任达华/伊能静/高捷/夏德俊/郑佩佩/尚雯婕/戚薇/王大奇
夺命心跳,7.5,悬疑/惊悚,张琦,林熙蕾/梁家辉/黄维德/安雅
飞天,7.5,剧情,王珈/沈东,刘之冰/巫刚/赵晓明/牛莉/姜瑞佳/柏青/李幼斌
宅男总动员,7.5,喜剧/爱情,杨子,钟镇涛/谭耀文/黄又南/叶静/甘婷婷/赵柯/张馨予/于越/邓丽欣/黄奕/雷凯欣
房不剩防,7.5,喜剧/爱情,孙达,赵毅/李念/李菁/何伟/方青卓/陈羽凡/姜超/颜冠英
爱情36计,7.5,喜剧/爱情,吴兵,刘桦/陈晓东/田中千绘/孙兴/周晓鸥/吴京/谢娜/董勇/李光洁/黄娟/王迅
康定情歌,7.5,剧情/战争/冒险,江平,苏有朋/居文沛/蒲巴甲/翁虹/卢奇/何政军/张光北/吴军/马以/谢润/袁文霆
七小罗汉,7.5,喜剧/动作,傅华阳,曾志伟/陈思诚/牛萌萌/马健/东方闻樱/王浩/张真/贾惠景/王劲/赵一龙/王怡东/傅家缘
不是闹着玩的,7.5,剧情/喜剧,卢卫国,李易祥/于根艺/曹随风/田华
樱桃,7.5,剧情,张加贝,苗圃/妥国权/龙丽/张旖欣/米乐/马理文/谭秀珍
小说,7.5,剧情/爱情,吕乐,王志文/王彤/王朔/余华/阿城
一轮明月,7.5,剧情/传记,陈家林/路奇,濮存昕/徐若瑄/李建群/尹治/胡光子/刘伟明
第一次的亲密接触,7.5,剧情/爱情,金国钊,张震/陈小春/舒淇/田海蓉/马千珊/傅淼
西洋镜,7.5,剧情/爱情/历史,胡安,杰瑞德·哈里斯/夏雨/邢宇飞/刘佩琦/吕丽萍/王景明/方青卓/李滨
美丽新世界,7.5,剧情/喜剧,施润玖,陶虹/姜武/陈宁/任贤齐/伍佰
鸦片战争,7.5,剧情/历史/战争,谢晋,鲍国安/林连昆/苏民/郎雄/邵昕/姜华/鲍勃·佩克/西蒙·威廉姆斯
埋伏,7.5,剧情/喜剧,黄建新/杨亚洲,冯巩/江珊/滕汝骏/张嘉译/牛振华/师小红/郭冬临/林海海/赵秀云/陈好/刘峻岭/姚英华
西楚霸王,7.5,动作/历史/战争/古装,冼杞然,吕良伟/张丰毅/巩俐/关之琳/刘洵/吴兴国/徐锦江/陈松勇/关海山/杜少津/顾宝明/张世/叶全真/金士杰/徐向东
大太监李莲英,7.5,剧情/传记/历史/古装,田壮壮,姜文/刘晓庆/田少军/朱旭/徐帆/刘斌/牛星丽/丁嘉丽
敦煌,7.5,剧情/历史/古装,佐藤纯弥,西田敏行/佐藤浩市/中川安奈/渡濑恒彦/田村高广/柄本明/原田大二郎/三田佳子/蜷川幸雄/新藤荣作/铃木瑞穗
黄河大侠,7.5,剧情/动作/武侠/古装,张鑫炎/张子恩,于承惠/靳德茂/淳于珊珊/赵志刚/计春华/万琼
中华英雄,7.5,动作/战争,李连杰,李连杰/赵尔康/宋佳
似水流年,7.5,剧情,严浩,斯琴高娃/顾美华/谢伟雄/周沄/邢马力/许瑞萍
碟仙,7.4,惊悚/恐怖,廉涛,黄奕/范逸臣/程小夏/吴烨/马卷卷/刘晨霞/曾韵蓁/何佳颖/张天柏/鹿嘉豪
我的青春都是你,7.4,剧情/爱情,周彤/代梦颖,宋芸桦/宋威龙/林妍柔/金士杰/黄俊捷/森竣/林敬伦/侯彦西/徐以腾/孙千/代梦颖
大河唱,7.4,纪录片/音乐,柯永权/杨植淳/和渊,苏阳/刘世凯/张进来/魏宗富/马风山
柔情史,7.4,剧情/家庭,杨明明,耐安/张献民/杨明明/李勤勤/黄卫/袁丽/李文波
欲念游戏,7.4,科幻/悬疑/犯罪,郭涛,郭涛/张子枫/姜潮/梅婷/范伟/王迅/盖玥希
在乎你,7.4,爱情,毕国智,俞飞鸿/大泽隆夫/木下彩音/卢洋洋/前田公辉/星由里子
独家记忆番外之相信爱,7.4,爱情,刘畅,孙嘉灵/李九霄/张超/李婷婷/陈博豪/张樟/邓郁立
独家记忆番外之勇敢爱,7.4,爱情,刘畅,张超/李婷婷/陈博豪/孙嘉灵/李九霄/张樟/邓郁立
蓝色生死恋,7.4,爱情,王才涛,许凯/赵露思/焦睿/梁婧娴/孟美岐/张檬/何明翰/张秋歌/杨大鹏
大侦探霍桑,7.4,喜剧/动作/悬疑,周显扬,韩庚/尹正/张慧雯/刘嘉玲/郭晓东/冯嘉怡/罗家英/王梓轩/于洋
淡蓝琥珀,7.4,剧情/悬疑,周劼,王真儿/吕聿来/耿乐/张瑶/王彩平
解码游戏,7.4,喜剧/动作/犯罪,李海龙,韩庚/凤小岳/李媛/山下智久/廖启智/迈克尔·帕帕约翰
缉妖法海传,7.4,剧情/动作,胡国瀚,黄蓉/白宇/姜震昊/霹雳爷们儿/乔曦/吴宥萱/张子骞/童伟
新大头儿子和小头爸爸3：俄罗斯奇遇记,7.4,动画/家庭/儿童/冒险,何澄,刘纯燕/董浩/鞠萍/陈苏/耿晨晨/周志强/黄炜
清水里的刀子,7.4,剧情,王学博,杨生仓
我的影子在奔跑,7.4,剧情/家庭/儿童,方刚亮,张静初/龙品旭/黎兆丰/王同辉/张国强/叶婉娴/丽娜/吴海燕/吴若林/喻引娣
时间去哪儿了,7.4,剧情,贾樟柯/沃尔特·塞勒斯/马德哈尔·班达卡/贾梅尔·奎比卡/阿列克谢·费多尔琴科,梅芙·金琴丝/赵涛/迪萨·恩杜纳/爱丽莎·克拉夫索娃/康斯坦丁·埃土恩/梁景东
极致追击,7.4,动作/犯罪/冒险,查尔斯·马丁,奥兰多·布鲁姆/吴磊/任达华/熊黛林/昆凌/梁静/释彦能/英达/常戎/白梓轩
会痛的十七岁,7.4,爱情,彭发,徐娇/胡夏/鲁诺/王力宏/蔡卓妍/句号
二次初恋,7.4,喜剧/爱情/奇幻,戴玮,朱茵/杜天皓/黄征/王志飞/王嘉宁/夏志远/邰智源/陈牧耶
六人晚餐,7.4,剧情/爱情,李远,窦骁/张钧甯/邬君梅/吴刚/赵立新/俞灏明/尹馨梓/姜尘/崔文璐/陈欢/胡晴云/陈威旭/郝宣凯/李雨诺
小情书,7.4,剧情/爱情,乔梁,赵顺然/朱颜曼滋/姜瑞佳/高子沣/杨青/赵健雷/任帅/刘丹/姜宏波/韩昊轩/马祥睿/邓震/伍宇辰柠/赵珍妮/张鑫凯
血狼犬,7.4,剧情/动作/冒险,刘建华,黄宏/刘向京/赵婷婷/孙涛/王海燕/肥龙/朱琳/秦艺伟/党晨
夜色撩人,7.4,剧情/悬疑/犯罪,夏钢,王千源/余男/南宫珉/潘斌龙
大卫贝肯之倒霉特工熊,7.4,喜剧/动画/家庭/冒险,李清舫,汤水雨/徐佳琦/杨默/张遥函/刘琮/雪萌/齐思伽
最萌身高差,7.4,喜剧/爱情,马侃,高以翔/王水林/秦晓飞/王棠云/李元元/林育品/范湉湉/九孔/马国毕/邹之遥/简洁/林真亦
超级保镖,7.4,剧情/动作,岳松,岳松/释彦能/李宇菲/邹兆龙/陈惠敏/尚铁龙/徐冬梅/杨骏/李长海/姜宝成/元武/董江涛
极限公益联欢会,7.4,音乐/歌舞/真人秀,严敏 Min Yan/任静,张艺兴/罗志祥/黄渤/黄磊/孙红雷/王迅/庾澄庆/蔡依林/林俊杰/杨魏玲花/曾毅
狐妖小红娘剧场版：月红篇,7.4,爱情/动画/奇幻,王昕/董易,杨天翔/刘校妤/阿杰/张予佟/张凯/乔诗语/宝木中阳/图特哈蒙
猫脸老太太,7.4,悬疑/惊悚/恐怖,赵小溪,王翀/柏安/田淼/肖彦博/吴曦/翟红玉/卢峰/文婷/彭中扬/张国荣/陈宇鹏
喜丧,7.4,剧情/家庭,张涛,郁凤云/陈士兰/李宝明/阮凤鸣
土豪520,7.4,喜剧/爱情,林爱华,吴镇宇/姚星彤/马天宇/李菁/周韦彤
爱我就陪我看电影,7.4,喜剧/爱情,牛朝阳,吴镇宇/余男/金汎/古力娜扎/任达华/惠英红/张雪迎/王宗泽/姜武/牛犇/鲁园
怪谈,7.4,惊悚,叶伟民/田蒙/咸旭初,李治廷/文咏珊/朱珠/罗兰/梁竞徽/施予斐/冯文娟/杨菲洋/黄宥明/胡然/吕聿来/林江国
侠僧探案传奇之大夜叉,7.4,动作/悬疑/武侠/古装,海涛,韩朔/刘冠成/李美慧/张哲浩
黄克功案件,7.4,剧情/悬疑/历史,王放放,成泰燊/王凯/毛孩/黄海冰/杨佳音/马薇薇/戴江/章劼/蔡宜达
怨灵,7.4,惊悚/恐怖,佟亦坚,洪秀儿/姜潮/倪慕斯/彭凌/谈莉娜/高泰宇/徐悦
拆散专家,7.4,喜剧/爱情,李坚/裘仲维,黄圣依/贾一平/张峻宁/刘天佐/林雪/肖剑/姜宏波/刘欢/岳跃利/李菁
诡替身,7.4,惊悚/恐怖,李锦航,覃文静/马敬涵/邱意浓/王伟/王子强/周翔/母华常隆/余浩瑞/李默壬/王婷/鲍仙军/李沅
食人虫,7.4,科幻/惊悚/灾难,严嘉,夏梓桐/张梓琳/王传君/丁春诚
死亡派对,7.4,剧情/悬疑,解航,袁咏仪/高圣远/熊乃瑾/张籽沐
白雪公主之矮人力量,7.4,喜剧/动画/奇幻/冒险,邱浩强,刘小翠/李旭乔
大宅男,7.4,喜剧/爱情,朱延平,萧敬腾/江疏影/大鹏/谢娜/陈博正/蔡纬嘉/张景岚/阿诺/宽叽文/吴中天/汤尼陈/林美秀
洛克王国3：圣龙的守护,7.4,动画/奇幻/冒险,龚宾四,杨莹/阎萌萌/皇贞季/山新/唐小喜/张磊/高增志/赵树仁/郭政建/赵震/郭盛/班闯
死亡邮件,7.4,悬疑/犯罪,李彧,任泉/乔任梁/张杨果而/李彧/周泓/曹阳/白瑶
激浪青春,7.4,爱情,梁柏坚,黄晓明/陈乔恩/黄轩/曾志伟/邵兵/董璇/于小伟/谢晶晶/吴辰君/郭美美
古堡之吻,7.4,爱情,田芬,李小璐/约翰·罗宾森/王姬/芦菲/丁建钧/张伟欣
怖偶,7.4,悬疑/惊悚,王松,郑昊/小彩旗/阚清子/贾伟
百变爱人,7.4,喜剧/爱情,叶念琛,王祖蓝/王菀之/许冠文/王敏德/元秋/薛家燕/庄思敏/龙小菌/方力申/郭伟亮/蔡瀚亿/王李丹妮
笔仙惊魂3,7.4,悬疑/惊悚/恐怖,关尔,余心恬/郭艳/郭鑫/郎鹏/付曼/薛斐/吴云飞/嘉熙/卡卡/郑惠馨
少女灵异日记,7.4,惊悚/恐怖,许斌,路晨/冯波/周野芒/伍麟凯/韩一菲
诡拼车,7.4,悬疑/惊悚,张力,包小柏/倪景阳/连凯/张羽/金晨/段卿卿/郭艳/孔铭/董祺/王劲松
孪生密码,7.4,动作/悬疑,梁凯杰,曹操/杨玉梅/吉飞龙/沈婵娟/孙兴/罗家英/姜皓文
冲锋战警,7.4,动作/犯罪,罗守耀,任达华/李灿森/邵美琪/林雪/王紫逸/牛萌萌/卢惠光/李曼筠/卢海鹏/张兆辉/李金江
公主的诱惑,7.4,喜剧/爱情,黄肖英,田亮/邓丽欣/赵柯/谢君豪/苏永康/黄又南/徐杉/叶静/宋汶霏/孙熙/赵荣/魏骏杰/夏凡/赵会南
爱别离,7.4,剧情/爱情,吴林,张檬/黄阅/王盈凯/卓予童/缪婷茹/索朗尼玛
来历不明,7.4,科幻/悬疑,陈楚童,陈楚童/蒋梦婕/王往/高鑫/缪婷茹/翟小兴
光辉岁月,7.4,剧情/动作/冒险,熊欣欣,曾志伟/黄日华/梁咏琪/郭涛/任达华/惠英红/刘五性/吕良伟/狄龙/倪虹洁/莫少聪/熊欣欣/王敏德/李炜
亲·爱,7.4,剧情/家庭,李欣蔓,余男/于谦/乌吉穆/邵何之杰/徐玉兰/高鑫
止杀令,7.4,剧情/动作/历史/战争,王坪,赵有亮/涂们/李小冉/耿乐/余少群/中泉英雄/朴艺珍/徐锦江
午夜微博,7.4,悬疑/惊悚/恐怖,邓科,邓紫衣/唐禹哲/杜娟/刘羽琦/洪亦平/刘鹏
三月情流感,7.4,喜剧/爱情,谢鸣晓,范逸臣/陈洁/徐德亮/林筱筠/金士杰
爱情不NG,7.4,喜剧/爱情,朱时茂,信/钟欣潼/李小冉/余少群/袁成杰
孤岛惊魂2,7.4,悬疑/惊悚/恐怖,钟继昌,邓家佳/陈志朋
重返大海,7.4,动画/家庭/冒险,陆强,孟非/李俊宇/林颖/梁爽/连莲/张沈平/王沛/王凯
秘密花园,7.4,喜剧/爱情/奇幻,唐丹,钟汉良/谭维维/安七炫/左岩
小鱼吃大鱼,7.4,喜剧/爱情,查传谊,郭京飞/齐溪/孔维/宋宁峰/王一/白凯南
初到东京,7.4,剧情/爱情,蒋钦民,秦昊/倍赏千惠子/中泉英雄/张钧甯/田沅
梦游,7.4,悬疑/惊悚,彭顺,李心洁/霍思燕/李宗翰/杨采妮/马浴柯/黄德斌/鲍起静/段伟伦/郑则仕
爱封了,7.4,喜剧/爱情,唐丹,江一燕/弗洛里安·卢卡斯/邓家佳/何冰/吴大维/缇诺·麦威斯
囧探佳人,7.4,喜剧/惊悚,侯亮,郭涛/韩雪/谭耀文/刘东浒/郭金/居文沛/范雷/崔准硕/何文辉/李健仁
蔡李佛,7.4,剧情/动作,黄明升/罗惠德,洪金宝/黄嘉乐/元华/洪天照/小杉健/王佳音/刘永健/杜宇航
歌舞青春,7.4,歌舞,陈士争,张峻宁/马梓涵/袁成杰/顾璇/刘维/林琪/孙楠/郭德纲
等着你回来,7.4,恐怖,叶永健,吴建豪/李小璐/加护亚依/袁祥仁/罗兰/黄德斌/林子聪/蓝钧天/谷峰
异度公寓,7.4,惊悚,蒋国权,萧蔷/张兆辉/马天宇/姚琳娜/阿穆隆/谢纯鑫
四个丘比特,7.4,喜剧/爱情,王才涛,苏有朋/颜丹晨/范明/于娜/四小凤
欠我十万零五千,7.4,剧情/喜剧,姬雨,李乃文/刘桦/杨若兮/胡明/高军/张少华/刘利年/李梦男
功夫厨神,7.4,喜剧/动作,叶永健,洪金宝/吴建豪/应采儿/林子聪/樊少皇/吴建飞
扣篮对决,7.4,剧情/动作/家庭/运动,林浩然,林晓凡/张一山/周立铭/赵文琪/王志刚
警花燕子,7.4,剧情,张菁,汤唯/田雨/李佳璇
上海伦巴,7.4,剧情/爱情,彭小莲,袁泉/夏雨/管艺/崔杰
七夜,7.4,惊悚/恐怖,张菁,张静初/蒋勤勤/柳云龙
疑神疑鬼,7.4,恐怖,邱礼涛,徐熙媛/刘烨/胡歌 Ge Hu
美丽上海,7.4,剧情/家庭,彭小莲,王祖贤/郑振瑶/冯远征/顾美华/娜仁花
爱‧作战,7.4,动作/爱情,郑保瑞,陈奕迅/周励淇/王志文/秦海璐/黄浩然/关智斌/吴嘉龙
最后的爱，最初的爱,7.4,爱情,当摩寿史,渡部笃郎/徐静蕾/董洁
邮差,7.4,剧情,何建军,冯远征/濮存昕/梁丹妮
一刀倾城,7.4,动作/爱情/武侠/古装,洪金宝,狄龙/杨凡/杨丽菁/关之琳/赵长军/洪金宝/黄锦江/邹兆龙/刘洵
代号美洲豹,7.4,剧情/惊悚,张艺谋/杨凤良,刘小宁/葛优/巩俐/王学圻/于荣光
一代妖后,7.4,剧情/古装,李翰祥,刘晓庆/巩俐/陈烨/陈道明/李岩/刘虹/阎青妤/萧小华/俞立文
天云山传奇,7.4,剧情,谢晋,石维坚/施建岚/王馥荔/仲星火/洪学敏
灰猴,7.3,剧情/喜剧/犯罪,张璞,王大治/高峰/王靖云/骆达华/李彧/罗京民/马菁菁/李洋/张翀/彪子/高子涵/薛靖骞/吴海棠/王思远/吕一丁/季李
独家记忆番外之再见爱,7.3,爱情,刘畅,张樟/邓郁立/方文强/叶子诚/李欢/张超/李婷婷/陈博豪/孙嘉灵/李九霄/龚锐
黑暗迷宫,7.3,悬疑/犯罪,温河,聂远/葛天/杜奕衡/初俊辰/栾元晖/余薇薇/卢卓/程爽/陈震/戚蓝尹/郭家诺/常诚
为你写诗,7.3,喜剧/爱情/奇幻,吴克群,吴克群/周依然/周键铭/苏士为/仇佩佩/刘晨霞/颜如晶/张本煜/潘粤明/林美秀
