name,rating,types,directors,actors
三大队,7.6,剧情 / 犯罪,戴墨,张译 / 李晨 / 魏晨 / 曹炳琨 / 王骁 / 张子贤 / 杨新鸣 / 陈创 / 黄璐 / 艾丽娅 / 张新成 / 高叶 / 张本煜 / 王雨甜 / 王双宝 / 张祎曈 / 冯兵 / 董向荣 / 李妍锡 / 徐冬冬 / 马千壹 / 陈昊 / 张磊 / 宁晓志 / 刘頔 / 郜玄铭 / 黄婷 / 盛梓航 / 韩静  / 赖维佳
我们一起摇太阳,8.0,剧情 / 爱情 / 家庭,韩延,彭昱畅 / 李庚希 / 徐帆 / 高亚麟 / 刘丹 / 王迅 / 宋伊人 / 刘迅 / 李晨 / 杨玏 / 李建义 / 李晓川
悬崖之上,7.3,剧情 / 动作 / 悬疑,张艺谋,张译 / 于和伟 / 秦海璐 / 朱亚文 / 刘浩存 / 倪大红 / 李乃文 / 余皑磊 / 飞凡 / 雷佳音 / 沙溢 / 韩昊霖 / 赵毅
射雕英雄传：侠之大者,5.2,武侠,徐克,肖战 / 庄达菲 / 梁家辉 / 张文昕 / 巴雅尔图 / 阿如那 / 蔡少芬 / 胡军 / 吴兴国 / 纳仁巴特尔 / 依特格勒 / 李海涛 / 图门巴雅尔 / 威力斯 / 元彬 / 杜玉明 / 释彦能 / 许明虎 / 李晨 / 李欣阳 / 孙建魁 / 徐向东 / 王涌澄 / 刘占领
雄狮少年,8.3,剧情 / 喜剧 / 动画,孙海鹏,李昕 / 陈业雄 / 郭皓 / 李盟 / 李佳思 / 蔡壮壮 / 马语非 / 熊陈捷 / 巴赫 / 大澄子 / 付博文 / 秋木
保你平安,7.6,剧情 / 喜剧,大鹏,大鹏 / 李雪琴 / 尹正 / 王迅 / 王圣迪 / 马丽 / 宋茜 / 白宇 / 贾冰 / 杨迪 / 潘斌龙 / 倪虹洁 / 乔杉 / 于洋 / 刘金山 / 曹炳琨 / 梁超 / 张林 / 老四 / 李胤维  / 夏甄 / 邓飞 / 李妮妮 / 张婉儿 / 娄乃鸣 / 陈祉希 / 其那日图 / 兰西雅 / 方圆圆 / 林若惜 / 大能 / 吴昊宸
误杀3,6.0,剧情 / 悬疑 / 犯罪,甘剑宇,肖央 / 佟丽娅 / 段奕宏 / 刘雅瑟 / 王龙正 / 冯兵 / 周楚濋 / 徐诣帆 / 高捷 / 尹子维 / 张榕容 / 卢慧敏 / 陈昊 / 范静祎 / 叶泉希
无名,6.6,剧情 / 悬疑 / 历史,程耳,梁朝伟 / 王一博 / 周迅 / 黄磊 / 森博之 / 大鹏 / 王传君 / 江疏影 / 张婧仪 / 周生昊 / 董易 / 古川岳史  / 彭广 / 赵左 / 高曙光 / 美浓轮泰史 / 金子浩拓  / 三浦研一 / 吴映 / 李欣 / 徐婧荧
三滴血,6.3,剧情 / 犯罪,康博,胡歌 / 文淇 / 高子淇 / 闫妮 / 宋佳 / 高叶 / 欧豪 / 李雪琴 / 杨新鸣 / 艾丽娅 / 马迎春 / 张奕聪 / 王悦伊 / 张本煜 / 汪铎 / 刘千慈
逆行人生,6.6,剧情,徐峥,徐峥 / 辛芷蕾 / 王骁 / 贾冰 / 冯兵 / 丁勇岱 / 丁嘉丽 / 陈哈琳 / 邬家楷 / 刘美含 / 于和伟 / 黄小蕾 / 马东 / 梁静 / 张占义 / 吴彼 / 周铁男 / 王啸宇 / 徐祥
