movie_id,name,year,rating,directors_count,writers_count,actors_count,total_persons
1714,灵魂摆渡2番外篇：不速之客,0,6.8,1,0,6,7
1715,半夜叫你别回头,0,6.8,1,0,7,8
1716,墓穴迷城,0,6.8,1,0,9,10
1717,战火中的芭蕾,0,6.8,2,0,11,13
1718,亲，别怕,0,6.8,2,0,6,8
1719,异种,0,6.8,1,0,8,9
1720,我是歌手：2015巅峰会,0,6.8,1,0,13,14
1721,时光大战,0,6.8,1,0,7,8
1722,斐济99℃爱情,0,6.8,1,0,8,9
1723,毕业那年：分手季,0,6.8,1,0,9,10
1724,真爱,0,6.8,2,0,2,4
1725,欲望保姆,0,6.8,1,0,3,4
1726,缘来是游戏,0,6.8,1,0,8,9
1727,这个大叔不太囧,0,6.8,1,0,5,6
1728,开心超人2：启源星之战,0,6.8,1,0,7,8
1729,破局,0,6.8,1,0,5,6
1730,太空熊猫总动员,0,6.8,1,0,6,7
1731,一号目标,0,6.8,2,0,13,15
1732,求爱嫁期,0,6.8,1,0,10,11
1733,西藏天空,0,6.8,1,0,5,6
1734,我是歌手：双年巅峰会,0,6.8,1,0,11,12
1735,卒迹,0,6.8,1,0,3,4
1736,青春盛宴,0,6.8,1,0,11,12
1737,蝙蝠别墅,0,6.8,1,0,5,6
1738,不肯去观音,0,6.8,1,0,6,7
1739,终极大冒险,0,6.8,1,0,7,8
1740,百万爱情宝贝,0,6.8,1,0,8,9
1741,潜艇总动员3：彩虹宝藏,0,6.8,1,0,8,9
1742,不要迷恋姐,0,6.8,1,0,7,8
1743,雷锋的微笑,0,6.8,1,0,10,11
1744,雷锋在1959,0,6.8,1,0,10,11
1745,八卦宗师,0,6.8,1,0,13,14
1746,神秘世界历险记,0,6.8,1,0,10,11
1747,平壤之约,0,6.8,2,0,12,14
1748,热血街头,0,6.8,1,0,5,6
1749,忠诚与背叛,0,6.8,1,0,28,29
1750,地域无门,0,6.8,1,0,8,9
1751,结婚狂想曲,0,6.8,1,0,6,7
1752,女人如花,0,6.8,1,0,7,8
1753,双截棍,0,6.8,1,0,2,3
1754,微博有鬼 第一季,0,6.8,3,0,3,6
1755,摩尔庄园冰世纪,0,6.8,1,0,8,9
1756,老狗,0,6.8,1,0,3,4
1757,我的雷人男友,0,6.8,1,0,3,4
1758,寻找刘三姐,0,6.8,1,0,5,6
1759,神兵小将,0,6.8,3,0,5,8
1760,童年的收音机,0,6.8,1,0,3,4
1761,车逝,0,6.8,2,0,3,5
1762,滚拉拉的枪,0,6.8,1,0,2,3
1763,请将我遗忘,0,6.8,1,0,5,6
1764,隐形的翅膀,0,6.8,1,0,1,2
1765,泥鳅也是鱼,0,6.8,1,0,3,4
1766,方便面时代,0,6.8,1,0,26,27
1767,鲁迅,0,6.8,1,0,7,8
1768,秋雨,0,6.8,1,0,7,8
1769,首席执行官,0,6.8,1,0,4,5
1770,我们害怕,0,6.8,1,0,4,5
1771,红粉,0,6.8,1,0,11,12
1772,西楚霸王之楚汉爭霸,0,6.8,1,0,4,5
1773,武林志,0,6.8,1,0,15,16
1774,末代皇后,0,6.8,2,0,5,7
1775,人鱼江湖,0,6.7,1,0,4,5
1776,我的宠物是大象,0,6.7,1,0,8,9
1777,50米之恋,0,6.7,1,0,6,7
1778,四大名捕之食人梦界,0,6.7,2,0,3,5
1779,东海龙棺,0,6.7,1,0,2,3
1780,破梦游戏,0,6.7,1,0,11,12
1781,让我怎么相信你,0,6.7,2,0,7,9
1782,远去的牧歌,0,6.7,2,0,3,5
1783,幸福城市,0,6.7,1,0,9,10
1784,美丽,0,6.7,1,0,1,2
1785,兄弟班,0,6.7,1,0,16,17
1786,爹地,0,6.7,2,0,4,6
1787,潜艇总动员：海底两万里,0,6.7,1,0,4,5
1788,香港大营救,0,6.7,1,0,15,16
1789,不良街区,0,6.7,1,0,5,6
1790,大梦西游4伏妖记,0,6.7,1,0,13,14
1791,笔仙大战贞子2,0,6.7,1,0,5,6
1792,识色，幸也,0,6.7,1,0,6,7
1793,怨灵2,0,6.7,1,0,7,8
1794,夜半凶铃,0,6.7,1,0,8,9
1795,漂洋过海来爱你,0,6.7,1,0,7,8
1796,碟仙之毕业照,0,6.7,1,0,7,8
1797,熟悉的陌生人,0,6.7,1,0,4,5
1798,惊魂绣花鞋,0,6.7,1,0,7,8
1799,老九门番外之四屠黄葵,0,6.7,1,0,1,2
1800,老腔,0,6.7,1,0,5,6
1801,我来也,0,6.7,1,0,5,6
1802,笑林足球,0,6.7,1,0,11,12
1803,我是哪吒,0,6.7,1,0,12,13
1804,幽灵医院,0,6.7,1,0,4,5
1805,古曼,0,6.7,1,0,7,8
1806,神秘世界历险记3,0,6.7,1,0,18,19
1807,魔都凶音,0,6.7,1,0,8,9
1808,妖医,0,6.7,1,0,5,6
1809,笔仙诡影,0,6.7,2,0,8,10
1810,谎言大爆炸,0,6.7,1,0,6,7
1811,我的“狐朋狗友”,0,6.7,1,0,4,5
1812,监禁风暴,0,6.7,1,0,2,3
1813,荒村怨灵,0,6.7,1,0,10,11
1814,灵臆事件,0,6.7,1,0,2,3
1815,我爸比我小四岁,0,6.7,1,0,3,4
1816,时间都去哪了,0,6.7,1,0,6,7
1817,美人鱼之海盗来袭,0,6.7,1,0,4,5
1818,金箍棒传奇2：沙僧的逆袭,0,6.7,1,0,4,5
1819,第二次爱你,0,6.7,1,0,15,16
1820,谍·莲花,0,6.7,1,0,10,11
1821,还魂之迷失曼谷,0,6.7,2,0,4,6
1822,诡八楼,0,6.7,1,0,5,6
1823,床上关系2,0,6.7,1,0,3,4
1824,不爱不散,0,6.7,2,0,10,12
1825,青蛙王国,0,6.7,1,0,3,4
1826,我的美丽王国,0,6.7,1,0,10,11
1827,步步追魂,0,6.7,1,0,5,6
